ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	SOURCE	PROTOSET	CONCEPTINSOURCE	UNCERTAINCOGNACY
4587	Huarayo	*banda	yehe	yehe	j e h e	cognates?	493		485	banda ú orilla del río	
2326	ProtoTakana	*barba	kwei-	kwei-	kʷ e i	see also *kwac̣a	267		243	berba	
2327	Tacana	*barba	ke-dha	ke-dha	k e + ð a		267		243	barba,bigote	
2328	Tacana	*barba	e-ke-di	e-ke-di	e + k e + d i		267		243	saliva	
2329	Tacana	*barba	e-ke-ke	e-ke-ke	e + k e + k e		267	Armentia1887	243	labio,orilla	
2330	Tacana	*barba	e-ke-ke-da	e-ke-ke-da	e + k e + k e + d a		267	Armentia1887	243	bigote	
2331	Tacana	*barba	ki-tu-a	ki-tu-a	k i + t u + a		267		243	escupar	
2332	Reyesano	*barba	kwesa	kwesa	kʷ e s a		267		243	beard	
2333	Maropa	*barba	euesa	euesa	e u e s a		267	Heath1883	243	berad	
2334	Cavinena	*barba	kwe-sa	kwe-sa	kʷ e + s a		267		243	barba,bigote	
2335	Cavinena	*barba	e-kwe-di	e-kwe-di	e + kʷ e + d i		267		243	saliva	
2336	Cavinena	*barba	e-kwe-dira-a-	e-kwe-dira-a-	e + kʷ e + d i r a + a		267		243	escupar	
2337	Cavinena	*barba	e-kwe-doko	e-kwe-doko	e + kʷ e + d o k o		267		243	mentón	
2338	Cavinena	*barba	e-kwe-kwi	e-kwe-kwi	e + kʷ e + kʷ i		267		243	la barba	
2339	Cavinena	*barba	e-kwe-di-a	e-kwe-di-a	e + kʷ e + d i + a		267	Armentia1887	243	salivar	
2340	Cavinena	*barba	e-kwei-ki	e-kwei-ki	e + kʷ e i + k i		267	Armentia1887	243	cara	
2341	EseEjja	*barba	e-kwe-ša	e-kwe-ša	e + kʷ e + ʃ a		267		243	barba	
2342	EseEjja	*barba	e-kwe-ša-baxi	e-kwe-ša-baxi	e + kʷ e + ʃ a + b a x i	< *kwei+c̣a or *kwe+ja or perhaps *kwei+ja	267		243	escoba	
2343	EseEjja	*barba	e-kwe-kweña	e-kwe-kweña	e + kʷ e + kʷ e ɲ a	< *kwe-kwe-ina	267		243	pelo de la barba	
2344	EseEjja	*barba	kwi-čo	kwi-čo	kʷ i + tʃ o		267		243	saliva	
2345	EseEjja	*barba	kwi-čo-hea-ka-	kwi-čo-hea-ka-	kʷ i + tʃ o + h e a + k a	< *kwei+tu?, cf. Tak forms above	267		243	escupar	
161	ProtoTakana	*barbasco	ac̣a	ac̣a	a ʈʂ a		29		4	barbasco	
162	Tacana	*barbasco	aca	aca	a ʈʂ a		29		4	barbasco (bejuco)	
163	Cavinena	*barbasco	aca	aca	a ts a		29		4	barbasco	
164	Cavinena	*barbasco	aca-ka-madi	aca-ka-madi	a ts a + k a + m a d i		29		4	resina de paquió	
1912	Huarayo	*barbasco	šata	šata	ʃ a t a		222		183	barbasco	
2351	ProtoTakana	*barranco	kwei-weiwei	kwei-weiwei	kʷ e i + w e i w e i	There is uncertainty regarding the protoform on the ID in the source	268		243	barranco	
2352	Tacana	*barranco	e-ke-wiwi	e-ke-wiwi	e + k e + β i β i		268		243	barranco	
2353	Cavinena	*barranco	e-kwe-wewe	e-kwe-wewe	e + kʷ e + β e β e		268		243	barranco,costado	
2354	Huarayo	*barranco	e-kwe-wewe	e-kwe-wewe	e + kʷ e + w e w e		268		243	barranco de tierra	
4062	ProtoTakana	*barriga	tu-	tu-	t u		442		432	barriga	
4063	Tacana	*barriga	e-tu	e-tu	e + t u		442		432	barriga	
4064	Tacana	*barriga	tu-ʔaida	tu-ʔaida	t u + ʔ a i d a		442		432	barrigón	
4065	Tacana	*barriga	tu-ri	tu-ri	t u + r i		442		432	torcido	
4066	Tacana	*barriga	tu-ru-neti-	tu-ru-neti-	t u + r u + n e t i		442		432	arrodillarse	
4067	Tacana	*barriga	tu-ři	tu-ři	t u + ɽ i		442		432	agachado,jorobado	
4068	Cavinena	*barriga	e-to-nono	e-to-nono	e + t o + n o n o		442		432	arco	
4069	Cavinena	*barriga	e-ka-to-nono-ti-	e-ka-to-nono-ti-	e + k a + t o + n o n o + t i		442		432	fruncido,medio torcido	
4070	Cavinena	*barriga	tu-nunu-sa	tu-nunu-sa	t u + n u n u + s a		442	Armentia1887	432	doblegar	
4071	Cavinena	*barriga	tu-nunu-tana	tu-nunu-tana	t u + n u n u + t a n a		442	Armentia1887	432	corbo	
4072	Cavinena	*barriga	e-tu-ba	e-tu-ba	e + t u + b a		442	Armentia1887	432	abdomen,empeine	
4073	Cavinena	*barriga	tu-ba-ki	tu-ba-ki	t u + b a + k i		442	Armentia1887	432	bala	
4074	Cavinena	*barriga	to-bo	to-bo	t o + b o		442		432	bala	
4075	EseEjja	*barriga	e-ko-wixi	e-ko-wixi	e + k o + w i x i		442		432	arco,escopeta	
4076	EseEjja	*barriga	keá-ko-wiwi	keá-ko-wiwi	k e á/a + k o + w i w i		442		432	torcido	
4077	EseEjja	*barriga	ko-po-ko-po	ko-po-ko-po	k o + p o + k o + p o		442		432	redondo	
4078	Huarayo	*barriga	kia-tó-po-ne	kia-tó-po-ne	k i a + t ó/o + p o + n e		442		432	redondo	
4079	Huarayo	*barriga	e-to-wihi	e-to-wihi	e + t o + w i h i		442		432	arco	
4080	Arasa	*barriga	etuwiši	etuwiši	e t u w i ʃ i		442		432	bow	
4684	ProtoTakana	*barriga,intestinos	zere	zere	z e r e	*ze?	503		497	barriga,intestinos	
4685	Tacana	*barriga,intestinos	e-dhe	e-dhe	e + ð e		503		497	barriga	
4686	Tacana	*barriga,intestinos	dhe ai-da	dhe_ai-da	ð e + a i + d a		503		497	barrigón,panzón,petacudo	
4687	Guariza	*barriga,intestinos	ec̹emerˈuzu	ec̹emerˈuzu	e ʈʂ e m e r u s u		503		497	of (thy) womb	
4688	Maropa	*barriga,intestinos	ésé	ésé	é/e s é/e		503	Heath1883	497	belly	
4689	Cavinena	*barriga,intestinos	e-sere	e-sere	e + s e r e		503		497	intestino	
4690	Cavinena	*barriga,intestinos	sere-hi	sere-hi	s e r e + h i		503	Armentia1887	497	desbarrigado	
4691	EseEjja	*barriga,intestinos	see	see	s e e		503		497	tripa	
4692	EseEjja	*barriga,intestinos	e-tee-xani	e-tee-xani	e + t e e + x a n i		503		497	intestinos	
4693	Huarayo	*barriga,intestinos	sesisi	sesisi	s e s i s i		503		497	intestinos,tripas	
4694	Chama	*barriga,intestinos	tée	tée	t é/e e		503		497	abdomen	
902	ProtoTakana	*basura	bubu	bubu	b u b u		123		76	basura	
903	Tacana	*basura	bubu	bubu	b u b u		123		76	basura	
904	Cavinena	*basura	e-bobo-ki	e-bobo-ki	e + b o b o + k i		123		76	escoba	
2860	ProtoTakana	*bañar	nawi	nawi	n a w i		338		305	bañar	
2861	Tacana	*bañar	navi-	navi-	n a β i		338		305	beñar	
2862	Cavinena	*bañar	nawi-	nawi-	n a β i		338		305	bañar	
2863	Cavinena	*bañar	e-nawi-tiki	e-nawi-tiki	e + n a β i + t i k i		338	Armentia1887	305	baño	
2127	ProtoTakana	*bejuco	kunu	kunu	k u n u		250		223	bejuco	
2128	Tacana	*bejuco	hunu	hunu	h u n u		250		223	bejuco	
2129	Tacana	*bejuco	hunu-bita	hunu-bita	h u n u + b i t a		250	Armentia1887	223	regaliz,raíz dulce	
2130	Cavinena	*bejuco	kono	kono	k o n o		250		223	bejuco	
2131	Cavinena	*bejuco	kono-wiha	kono-wiha	k o n o + β i h a		250		223	yerba de bejuco	
2132	Cavinena	*bejuco	kono-kini	kono-kini	k o n o + k i n i		250		223	bejucal	
2133	Cavinena	*bejuco	kono-sawa-kwiha	kono-sawa-kwiha	k o n o + s a w a + kʷ i h a		250		223	corona de espina	
2134	Cavinena	*bejuco	kono-tiri-kaka	kono-tiri-kaka	k o n o + t i r i + k a k a		250		223	fruta de bejuco del monte	
2135	Cavinena	*bejuco	kono-kahi	kono-kahi	k o n o + k a h i		250		223	camote	
2136	EseEjja	*bejuco	xono	xono	x o n o		250		223	bejuco,ombligo	
2137	EseEjja	*bejuco	baa-xono	baa-xono	b a a + x o n o		250		223	soga	
2138	EseEjja	*bejuco	xono-hai	xono-hai	x o n o + h a i		250		223	surubí (pez)	
2139	EseEjja	*bejuco	xono-šaša	xono-šaša	x o n o + ʃ a ʃ a	gloss? 'reed + flower': 'bekucal'?	250		223	arroyo	
2490	ProtoTakana	*bibosi (árbol)	maka	maka	m a k a		285		263	bibosi (árbol)	
2491	Tacana	*bibosi (árbol)	maha	maha	m a h a		285		263	bibosi (árbol)	
2492	Cavinena	*bibosi (árbol)	maka	maka	m a k a		285		263	bibosi	
3158	ProtoTakana	*blanco	pasa	pasa	p a s a		354		335	blanco	
3159	Tacana	*blanco	pasa-ne	pasa-ne	p a s a + n e		354		335	blanco	
3160	Tacana	*blanco	e-pasa-neti-	e-pasa-neti-	e + p a s a + n e t i		354		335	está blanqueando	
3161	Tacana	*blanco	pasa-neʔa	pasa-neʔa	p a s a + n e ʔ a		354	Armentia1887	335	blanquear	
3162	Tacana	*blanco	pasa-pasa	pasa-pasa	p a s a + p a s a		354	Armentia1887	335	todo blanco	
3163	Reyesano	*blanco	padha-me	padha-me	p a ð a + m e		354		335	white	
3164	Maropa	*blanco	paθáme	paθáme	p a θ á/a m e		354	Heath1883	335	white	
3165	Sapibokona	*blanco	pazamè	pazamè	p a ɽ a m e		354		335	blanco	
3166	Cavinena	*blanco	paha-ya	paha-ya	p a h a + j a		354		335	blanco	
3167	Cavinena	*blanco	paha-ta-	paha-ta-	p a h a + t a		354		335	emblanquecer	
3168	Cavinena	*blanco	paha-da-ke	paha-da-ke	p a h a + d a + k e		354		335	gringo	
3169	Cavinena	*blanco	e-ka-paha	e-ka-paha	e + k a + p a h a		354		335	clara de huevo	
3170	Cavinena	*blanco	paha-daʔa	paha-daʔa	p a h a + d a ʔ a		354	Armentia1887	335	blanquear	
3357	ProtoTakana	*blando	pu-	pu-	p u		373		356	blando	
3358	Tacana	*blando	pu-re-da	pu-re-da	p u + r e + d a		373		356	insípido,chapa	
3359	EseEjja	*blando	kea-po	kea-po	k e a + p o		373		356	blando	
2244	ProtoTakana	*boca	kwac̣a	kwac̣a	kʷ a ʈʂ a	see also *kwei-	256		232	boca	
2245	Tacana	*boca	e-kwaca	e-kwaca	e + kʷ a ʈʂ a		256		232	boca	
2246	Tacana	*boca	ha-kwaca-wawa-ti-	ha-kwaca-wawa-ti-	h a + kʷ a ʈʂ a + w a w a + t i		256		232	bostezar	
2247	Tacana	*boca	kwaca-cu-	kwaca-cu-	kʷ a ʈʂ a + ʈʂ u		256		232	besar	
2248	Tacana	*boca	kwaca-sia-	kwaca-sia-	kʷ a ʈʂ a + s i a		256		232	ordenar,mandar	
2249	Tacana	*boca	kwaca	kwaca	kʷ a ʈʂ a		256	Armentia1887	232	achacar,imputar	
2250	Tacana	*boca	kwaca peada	kwaca_peada	kʷ a ʈʂ a + p j a d a		256	Armentia1887	232	un bocado,un trago,una palabra,una boca	
2251	Tacana	*boca	kwaca-teri	kwaca-teri	kʷ a ʈʂ a + t e r i		256	Armentia1887	232	tapar (cántaro ó botella)	
2252	Reyesano	*boca	e-kwaca	e-kwaca	e + kʷ a ts a		256		232	mouth	
2253	Maropa	*boca	ekuatra	ekuatra	e k u a t r a		256	Heath1883	232	mouth	
2254	Sapibokona	*boca	ecuacha	ecuacha	e ts u a ts h a		256		232	bocca	
2255	Sapibokona	*boca	ecuachacubbi	ecuachacubbi	e ts u a ts h a ts u b b i		256		232	labbro	
2256	Mabenaro	*boca	ikwatsa	ikwatsa	i kʷ a t s a		256		232	mouth	
2257	Cavinena	*boca	e-kwaca	e-kwaca	e + kʷ a ts a		256		232	boca,ribera	
2258	Cavinena	*boca	e-kwaca-biti	e-kwaca-biti	e + kʷ a ts a + b i t i		256		232	labio	
2259	Cavinena	*boca	kwaca-bihi	kwaca-bihi	kʷ a ts a + b i h i		256		232	dicho,cuento	
2260	Cavinena	*boca	kwaca-wana	kwaca-wana	kʷ a ts a + w a n a		256	Armentia1887	232	corregir	
2261	Cavinena	*boca	kwaca-hu	kwaca-hu	kʷ a ts a + h u		256	Armentia1887	232	orillar	
2262	Cavinena	*boca	kwaca-tumu	kwaca-tumu	kʷ a ts a + t u m u		256	Armentia1887	232	embozar	
2263	EseEjja	*boca	e-kwasa	e-kwasa	e + kʷ a s a		256		232	labios	
2264	EseEjja	*boca	kwaša-	kwaša-	kʷ a ʃ a	š < ?	256		232	crecer la barba	
2265	Huarayo	*boca	e-kwasa	e-kwasa	e + kʷ a s a		256		232	labio	
1909	ProtoTakana	*bofe	ja-	ja-	ʃ a		219		179	bofe	
1910	Tacana	*bofe	e-řa-ta	e-řa-ta	e + ɽ a + t a		219		179	bofe	
1911	Cavinena	*bofe	e-ha-sa	e-ha-sa	e + h a + s a		219		179	bofe	
1274	ProtoTakana	*boro,gusano	c̣u-	c̣u-	ʈʂ u		158		116	boro,gusano	
1275	Tacana	*boro,gusano	cu-cu-ahudi-hihi	cu-cu-ahudi-hihi	ʈʂ u + ʈʂ u + a h u d i + h i h i		158	Armentia1887	116	mordidos por gusanos	
1276	Cavinena	*boro,gusano	co-ho	co-ho	ts o + h o		158		116	boro,gusano	
1277	Cavinena	*boro,gusano	cu-ha	cu-ha	ts u + h a		158	Armentia1887	116	engusanarse	
1278	Cavinena	*boro,gusano	cu-hu-a-ki	cu-hu-a-ki	ts u + h u + a + k i		158	Armentia1887	116	gusanera	
1279	EseEjja	*boro,gusano	so-so	so-so	s o + s o		158		116	boro	
1280	EseEjja	*boro,gusano	soowi	soowi	s o o w i	cognate?	158		116	carachupa	
1281	Huarayo	*boro,gusano	so-so	so-so	s o + s o		158		116	gusano	
437	ProtoTakana	*brazo	bai	bai	b a i	*ba3+i?	72		29	brazo	
438	Tacana	*brazo	e-bai	e-bai	e + b a i	Concept 'brazo de río' taken from Armentia	72		29	brazo,brazo de río	
439	Tacana	*brazo	bai čuto	bai_čuto	b a i + tʃ u t o		72		29	manco	
440	Tacana	*brazo	bai ene bene	bai_ene_bene	b a i + e n e + b e n e		72		29	a la derecha,brazo derecho	
441	Tacana	*brazo	e-na-bai	e-na-bai	e + n a + b a i		72		29	ala,manga de vestida	
442	Reyesano	*brazo	e-mbai	e-mbai	e + m b a i		72		29	arma	
443	Reyesano	*brazo	e-na-mbai	e-na-mbai	e + n a + m b a i		72		29	wing	
444	Maropa	*brazo	embai	embai	e m b a i		72	Heath1883	29	arm	
445	Sapibokona	*brazo	ebbai	ebbai	e b b a i		72		29	braccio	
446	Guariza	*brazo	ebbay	ebbay	e b b a j		72		29	arm	
447	Mabenaro	*brazo	ibai	ibai	i b a i		72		29	arm	
448	Cavinena	*brazo	e-bi	e-bi	e + b i		72		29	brazo	
449	Cavinena	*brazo	e-bi-caro	e-bi-caro	e + b i + ts a r o		72		29	pelo del brazo,vello	
450	Cavinena	*brazo	e-bi-kana	e-bi-kana	e + b i + k a n a		72	Armentia1887	29	pulso	
451	Cavinena	*brazo	e-bi-kani	e-bi-kani	e + b i + k a n i		72	Armentia1887	29	manga	
452	Cavinena	*brazo	e-bi-pokaka	e-bi-pokaka	e + b i + p o k a k a		72		29	puño,puñete	
453	Cavinena	*brazo	e-bi-pokaka-tia-	e-bi-pokaka-tia-	e + b i + p o k a k a + t i a		72		29	dar puñete	
454	Cavinena	*brazo	bi-hi	bi-hi	b i + h i		72	Armentia1887	29	maña	
455	Cavinena	*brazo	bi-hi-a-ki	bi-hi-a-ki	b i + h i + a + k i	Root: bai or *be...?	72	Armentia1887	29	mañoso	
456	EseEjja	*brazo	e-bašo	e-bašo	e + b a ʃ o		72		29	codo	
457	EseEjja	*brazo	baña-	baña-	b a ɲ a		72		29	alcanzar	
458	Huarayo	*brazo	e-bašo	e-bašo	e + b a ʃ o		72		29	codo,brazo	
459	Tiatinahua	*brazo	wacu	wacu	w a ts u		72		29	elbow	
460	Arasa	*brazo	ébaša	ébaša	é/e b a ʃ a		72	Nordenskiöld1905	29	elbow	
2572	ProtoTakana	*bruja,hechicero	maru	maru	m a r u		298		276	bruja,hechicero	
2573	Tacana	*bruja,hechicero	mau	mau	m a u		298		276	bruja	
2574	Tacana	*bruja,hechicero	ha-mawati	ha-mawati	h a + m a w a t i		298	Armentia1887	276	embrujar,maleficio	
2575	Tacana	*bruja,hechicero	ha-mauna-meti-hi	ha-mauna-meti-hi	h a + m a u n a + m e t i + h i		298	Armentia1887	276	matador,el que mata	
2576	Cavinena	*bruja,hechicero	maro	maro	m a r o		298		276	bruja,hechicero	
2577	Cavinena	*bruja,hechicero	maro-pohi	maro-pohi	m a r o + p o h i		298		276	hechicero	
2578	Cavinena	*bruja,hechicero	maro	maro	m a r o		298	Armentia1887	276	veneno	
2579	Cavinena	*bruja,hechicero	marua	marua	m a r u a		298	Armentia1887	276	envenenar	
1545	ProtoTakana	*brujo,dios	duc̣i	duc̣i	d u ʈʂ i		183		143	brujo,dios	
1546	Tacana	*brujo,dios	e-duci	e-duci	e + d u ʈʂ i		183		143	piedra de brujo,poder de brujería	
1547	Sapibokona	*brujo,dios	eruchi	eruchi	e r u ts h i		183		143	dio	
1548	Araona	*brujo,dios	edutzi	edutzi	e d u t ɽ i		183		143	dios	
1549	Cavinena	*brujo,dios	e-duči	e-duči	e + d u tʃ i		183	Armentia1887	143	dios	
1550	EseEjja	*brujo,dios	e-dosi-kia	e-dosi-kia	e + d o s i + k i a		183		143	brujo,curandero	
3557	ProtoTakana	*bueno	sai-	sai-	s a i		385		378	bueno	
3558	Tacana	*bueno	sai-da	sai-da	s a i + d a		385		378	bueno	
3559	Tacana	*bueno	sai-si-	sai-si-	s a i + s i		385		378	sanar	
3560	Tacana	*bueno	sai-piave	sai-piave	s a i + p i a β e		385	Armentia1887	378	bueno	
3561	Tacana	*bueno	sai-da-baha	sai-da-baha	s a i + d a + b a h a		385	Armentia1887	378	comprar bien	
3562	Tacana	*bueno	sai-da eni-eni	sai-da_eni-eni	s a i + d a + e n i + e n i		385	Armentia1887	378	muy bueno	
3563	Tacana	*bueno	iča-sai-ta-	iča-sai-ta-	i tʃ a + s a i + t a		385		378	guardar	
3564	Tacana	*bueno	sai-ba-	sai-ba-	s a i + b a		385		378	ser,poner	
3565	Tacana	*bueno	e-sai-ba-hi	e-sai-ba-hi	e + s a i + b a + h i		385		378	ropa	
3566	Reyesano	*bueno	dhai-me	dhai-me	ð a i + m e		385		378	good	
3567	Maropa	*bueno	zaipibe	zaipibe	z a i p i b e		385	Cardús1886	378	bien	
3568	Guariza	*bueno	sayme	sayme	s a j m e		385		378	good,blessed	
3569	Araona	*bueno	xaipiave	xaipiave	x a i p i a β e		385		378	bien	
3570	Cavinena	*bueno	hi-da	hi-da	h i + d a		385		378	bueno,contento,feliz,sano,bien	
3571	Cavinena	*bueno	hi-da-barepa	hi-da-barepa	h i + d a + b a r e p a		385		378	tiempo bueno	
3572	Cavinena	*bueno	hi-da-kwita	hi-da-kwita	h i + d a + kʷ i t a		385		378	bonito,agradable	
3573	Cavinena	*bueno	hi-da-pihi	hi-da-pihi	h i + d a + p i h i		385		378	bonito,hermoso	
3574	Cavinena	*bueno	hi-da-pore-ama	hi-da-pore-ama	h i + d a + p o r e + a m a		385		378	bueno,contento	
3575	Cavinena	*bueno	hida-a-	hida-a-	h i d a + a		385		378	honrar,hacerlo buen	
3576	Cavinena	*bueno	hi-da-ba-	hi-da-ba-	h i + d a + b a		385		378	amar,hallar bueno	
3577	Cavinena	*bueno	hi-da-eka-bawi-tia-ti	hi-da-eka-bawi-tia-ti	h i + d a + e k a + b a β i + t i a + t i		385		378	bien educado,etc	
3578	EseEjja	*bueno	kea-hai	kea-hai	k e a + h a i		385		378	le gusta,agradable	
3579	EseEjja	*bueno	hayaya	hayaya	h a j a j a		385		378	bueno	
742	ProtoTakana	*buitre negro	bedu	bedu	b e d u		98		56	buitre negro	
743	Reyesano	*buitre negro	bendzo	bendzo	b e n d z o		98		56	buzzard	
744	EseEjja	*buitre negro	beʔo	beʔo	b e ʔ o		98		56	sucha	
745	Huarayo	*buitre negro	beó~beʔó	beó	b e ó/o		98		56	gallinazo	
1010	ProtoTakana	*cabello	c̣aru	c̣aru	ʈʂ a r u		136		88	cabello	
1011	Tacana	*cabello	e-cau-nu	e-cau-nu	e + ʈʂ a u + n u	cognate?	136	Armentia1887	88	surco	
1012	Sapibokona	*cabello	echau	echau	e ts h a u		136		88	cappelli	
1013	Cavinena	*cabello	caro-caro	caro-caro	ts a r o + ts a r o		136		88	peludo,velludo	
1014	Cavinena	*cabello	e-caro	e-caro	e + ts a r o		136		88	cabello,pello	
1015	Cavinena	*cabello	caru-kihu	caru-kihu	ts a r u + k i h u		136	Armentia1887	88	empelar	
1016	Cavinena	*cabello	e-caru-dekaka	e-caru-dekaka	e + ts a r u + d e k a k a		136	Armentia1887	88	quedeja	
1017	Cavinena	*cabello	e-caru-dihi	e-caru-dihi	e + ts a r u + d i h i		136	Armentia1887	88	crencha	
1018	EseEjja	*cabello	sawomá	sawomá	s a w o m á/a		136		88	cabello corto	
1052	ProtoTakana	*cabeza	c̣apa	c̣apa	ʈʂ a p a		135		94	cabeza	
1053	Tacana	*cabeza	e-capona	e-capona	e + ʈʂ a p o n a	*c̣apa+?	135		94	seso,médula	
1054	EseEjja	*cabeza	e-sapa	e-sapa	e + s a p a		135		94	cabeza	
1055	EseEjja	*cabeza	e-sapa-doxo	e-sapa-doxo	e + s a p a + d o x o		135		94	seso	
1056	EseEjja	*cabeza	e-sapa-haaxi	e-sapa-haaxi	e + s a p a + h a a x i		135		94	almohada	
1057	EseEjja	*cabeza	sapa-xi	sapa-xi	s a p a + x i		135		94	calavera	
1058	EseEjja	*cabeza	sapa-ñama	sapa-ñama	s a p a + ɲ a m a		135		94	calvo	
1059	EseEjja	*cabeza	sapa-oše	sapa-oše	s a p a + o ʃ e		135		94	rubio	
1060	EseEjja	*cabeza	sapa-pohi	sapa-pohi	s a p a + p o h i		135		94	calvo	
1061	EseEjja	*cabeza	sapa-bó	sapa-bó	s a p a + b ó/o		135		94	dandruff	
1062	Huarayo	*cabeza	e-sapa	e-sapa	e + s a p a		135		94	cabeza	
1063	Huarayo	*cabeza	e-manu-sápa-hi	e-manu-sápa-hi	e + m a n u + s á/a p a + h i		135		94	calavera	
4588	ProtoTakana	*cabeza	yuka	yuka	j u k a		494		486	cabeza	
4589	Tacana	*cabeza	e-čua	e-čua	e + tʃ u a		494		486	cabeza	
4590	Tacana	*cabeza	e-čua matina	e-čua_matina	e + tʃ u a + m a t i n a		494		486	coronilla	
4591	Tacana	*cabeza	ečua-pehi-pehi	ečua-pehi-pehi	e tʃ u a + p e h i + p e h i		494		486	caspa de cabeza	
4592	Tacana	*cabeza	e-čua pawabi	e-čua_pawabi	e + tʃ u a + p a w a b i		494		486	cabecera,almohada	
4593	Tacana	*cabeza	e-čua budhu	e-čua_budhu	e + tʃ u a + b u ð u		494		486	seso	
4594	Tacana	*cabeza	e-čua pawabi	e-čua_pawabi	e + tʃ u a + p a w a b i		494		486	cabello	
4595	Tacana	*cabeza	čo-ai	čo-ai	tʃ o + a i		494	Armentia1887	486	cabezón	
4596	Tacana	*cabeza	čua-deu	čua-deu	tʃ u a + d e u		494	Armentia1887	486	pelado de la cabeza,rapado	
4597	Tacana	*cabeza	e-me čua ai	e-me_čua_ai	e + m e + tʃ u a + a i		494	Armentia1887	486	dedo pulgar	
4598	Reyesano	*cabeza	e-čoha	e-čoha	e + tʃ o h a		494		486	head	
4599	Maropa	*cabeza	e-čuxa	e-čuxa	e + tʃ u x a		494	Heath1883	486	head	
4600	Sapibokona	*cabeza	echua	echua	e ts h u a		494		486	head	
4601	Araona	*cabeza	echua	echua	e ts h u a		494		486	cabeza	
4602	Mabenaro	*cabeza	iyoa	iyoa	i j o a		494		486	head	
4603	Mabenaro	*cabeza	iyoiña	iyoiña	i j o i ɲ a		494		486	hair	
4604	Cavinena	*cabeza	i-yoka	i-yoka	i + j o k a		494		486	cabeza	
4605	Cavinena	*cabeza	e-me-yoka	e-me-yoka	e + m e + j o k a		494		486	pulgar	
4606	Cavinena	*cabeza	i-yoka-moro	i-yoka-moro	i + j o k a + m o r o		494		486	caspa	
4607	Cavinena	*cabeza	i-yoka-ki	i-yoka-ki	i + j o k a + k i		494		486	idea,inteligente	
4608	Cavinena	*cabeza	i-yoki-i-yoki	i-yoki-i-yoki	i + j o k i + i + j o k i		494		486	almohada,cabecera	
4609	Cavinena	*cabeza	yuka-apu	yuka-apu	j u k a + a p u		494	Armentia1887	486	encasquetar	
4610	Cavinena	*cabeza	yuka-tada-rara	yuka-tada-rara	j u k a + t a d a + r a r a		494	Armentia1887	486	calavera	
4611	Cavinena	*cabeza	yuka uhe-da	yuka_uhe-da	j u k a + u h e + d a		494	Armentia1887	486	jaqueca	
4612	Cavinena	*cabeza	yu-pa	yu-pa	j u + p a		494	Armentia1887	486	seso	
4613	EseEjja	*cabeza	e-woxa	e-woxa	e + w o x a		494		486	cabeza	
4614	EseEjja	*cabeza	kea-woxa-ñamo	kea-woxa-ñamo	k e a + w o x a + ɲ a m o		494		486	cabelludo	
4615	EseEjja	*cabeza	e-ha-woxa	e-ha-woxa	e + h a + w o x a		494		486	gorra	
4616	Huarayo	*cabeza	e-yoha	e-yoha	e + j o h a		494		486	cabeza	
4617	Huarayo	*cabeza	e-yohaña	e-yohaña	e + j o h a ɲ a		494		486	cabello	
4618	Arasa	*cabeza	éoša	éoša	é/e o ʃ a		494		486	head	
1371	ProtoTakana	*caer	daka-	daka-	d a k a		171		129	caer	
1372	Tacana	*caer	daha-da	daha-da	d a h a + d a		171	Armentia1887	129	ralo,no tupido	
1373	Tacana	*caer	daha-ha-	daha-ha-	d a h a + h a		171		129	caer	
1374	Tacana	*caer	daha-ha-me	daha-ha-me	d a h a + h a + m e		171	Armentia1887	129	hacer caer	
1375	Cavinena	*caer	daka-isa	daka-isa	d a k a + i s a		171	Armentia1887	129	destechar	
1376	Cavinena	*caer	daka-ka	daka-ka	d a k a + k a		171	Armentia1887	129	calva,encalvecer	
1377	Cavinena	*caer	daka-kaki	daka-kaki	d a k a + k a k i		171		129	calvo	
1378	Cavinena	*caer	ka-daka-ti-	ka-daka-ti-	k a + d a k a + t i	Concept 'empachar' taken from Armentia	171		129	vomitar,arrojar,empachar	
4247	ProtoTakana	*caerse	u(te)	u	u		448		448	caerse	
4248	Tacana	*caerse	-ute,-u	-ute	u t e	cf. tia-ute-ke 'démelo de arriba', ani-ute- 'sentar, ani-u-da 'asiento' | cf. *bute, for root	448		448	caerse	
4249	EseEjja	*caerse	oke-	oke-	o k e		448		448	caerse	
4250	EseEjja	*caerse	hea-oke-	hea-oke-	h e a + o k e		448		448	lo bajar	
4251	EseEjja	*caerse	ani-oke-	ani-oke-	a n i + o k e		448		448	sentar	
4252	EseEjja	*caerse	neke-oke-a-	neke-oke-a-	n e k e + o k e + a		448		448	bajarlo	
4253	Huarayo	*caerse	ote-ti-	ote-ti-	o t e + t i		448		448	caer	
4254	Huarayo	*caerse	oté-yo-	oté-yo-	o t é/e + j o		448		448	bajar	
4255	Arasa	*caerse	otekiani	otekiani	o t e k i a n i		448		448	fall	
2580	ProtoTakana	*caitu (hilo hecho en casa)	masi	masi	m a s i		299		277	caitu (hilo hecho en casa)	
2581	Cavinena	*caitu (hilo hecho en casa)	masi	masi	m a s i		299		277	caitu (hilo hecho en casa)	
2582	EseEjja	*caitu (hilo hecho en casa)	mahii	mahii	m a h i i		299		277	hilo de algodón	
2583	Arasa	*caitu (hilo hecho en casa)	mahi	mahi	m a h i		299	Créqui1922	277	fil	
